ID,num:price,num:rating,num:airport_dist,bool:wifi,bool:breakfast,bool:pool
The Marble Arch London,298,8,41,TRUE,TRUE,TRUE
The Montague On The Gardens,298,9,50,FALSE,FALSE,TRUE
The Nadler Kensington,200,9,28,TRUE,FALSE,FALSE
The Park City Grand Plaza Kensington Hotel,237,8,28,TRUE,TRUE,TRUE
The Park Grand London Paddington,222,8,37,TRUE,TRUE,TRUE
The Piccadilly London West End,298,9,46,TRUE,TRUE,TRUE
The Pillar Hotel,191,9,35,FALSE,FALSE,FALSE
The Portobello Hotel,296,9,34,FALSE,TRUE,FALSE
The Premier Notting Hill,166,7,36,TRUE,TRUE,FALSE
The Queens Gate Hotel,188,8,30,TRUE,TRUE,FALSE
The RE London Shoreditch,166,8,65,TRUE,TRUE,TRUE
The Rembrandt,241,9,31,TRUE,TRUE,TRUE
The Rockwell,143,9,30,TRUE,TRUE,FALSE
The Soho Hotel,409,10,48,FALSE,FALSE,FALSE
The Sumner Hotel,241,9,41,FALSE,FALSE,TRUE
The Tophams Hotel,164,7,40,FALSE,FALSE,FALSE
The Tower A Guoman Hotel,289,9,63,TRUE,TRUE,TRUE
The Victoria,164,8,28,FALSE,TRUE,FALSE
The Westbridge Hotel,160,9,75,TRUE,TRUE,TRUE
The Whitechapel,170,8,64,TRUE,FALSE,FALSE
TheWesley,271,8,47,TRUE,TRUE,FALSE
Thistle Hyde Park,238,8,37,FALSE,TRUE,FALSE
Thistle Kensington Gardens,216,8,37,TRUE,TRUE,FALSE
Twenty Nevern Square Hotel,213,8,29,TRUE,TRUE,FALSE
United Lodge Hotel and Apartments,133,8,56,TRUE,FALSE,FALSE
W12 Rooms,143,9,28,TRUE,TRUE,FALSE
Windermere Hotel,253,9,40,FALSE,FALSE,FALSE
